id, prediction, stock
102, 6109, 1557
103, 9723, 2590
104, 9776, 7919
105, 9604, 8038
106, 2061, 3370
107, 6619, 3017
108, 7351, 4099
109, 9981, 6375
110, 1269, 410
111, 5859, 2788
112, 9419, 3279
113, 1809, 8285
114, 2634, 1325
115, 5993, 3398
116, 7278, 17
117, 2194, 3780
118, 4417, 2923
119, 9894, 4168
120, 7990, 2176
121, 5073, 6526
122, 9653, 6203
123, 6034, 2896
124, 507, 2164
125, 7208, 7329
126, 6734, 2818
127, 9535, 4658
128, 8326, 2860
129, 6739, 3899
130, 8521, 3506
131, 9649, 1550
132, 3140, 3943
133, 9443, 2403
134, 8017, 8139
135, 2512, 5070
136, 2900, 6017
137, 4778, 666
138, 8058, 5910
139, 7343, 3923
140, 4363, 4570
141, 6454, 6911
142, 4081, 5263
143, 3977, 916
144, 6000, 3073
145, 627, 4282
146, 4162, 8639
147, 7077, 4905
148, 8327, 5827
149, 2821, 2660
150, 6860, 1025
151, 8324, 2279
152, 8868, 5273
153, 8511, 4326
154, 4564, 7917
155, 3774, 1776
156, 3829, 621
157, 7192, 6824
158, 7285, 33
159, 584, 7212
160, 1189, 6114
161, 1201, 6428
162, 6388, 2855
163, 7163, 934
164, 413, 3389
165, 35, 8205
166, 2632, 4912
167, 4392, 7186
168, 4041, 815
169, 6161, 5075
170, 4557, 1026
171, 2336, 2285
172, 7790, 121
173, 4801, 6051
174, 8380, 8503
175, 3750, 3621
176, 9737, 5475
177, 981, 2834
178, 1410, 4228
179, 3307, 4898
180, 5961, 8229
181, 7412, 4203
182, 741, 1697
183, 1226, 8252
184, 2626, 7916
185, 8768, 3659
186, 6091, 3962
187, 2474, 5188
188, 2277, 8667
189, 6875, 8596
190, 5855, 4769
191, 5233, 2737
192, 4069, 3941
193, 3749, 4667
194, 4983, 7664
195, 6034, 6108
196, 7105, 6710
197, 9514, 7524
198, 9968, 7852
199, 9186, 8552
200, 8022, 2939
201, 3437, 3307
202, 6632, 189
203, 4401, 2288
204, 8882, 4611
205, 8921, 2154
206, 1246, 5185
207, 3184, 509
208, 4802, 7957
209, 1626, 7282
210, 1579, 4368
211, 950, 4064
212, 4838, 2232
213, 2426, 5763
214, 5844, 5617
215, 9205, 8289
216, 2770, 4283
217, 903, 2348
218, 294, 4948
219, 5272, 5403
220, 9577, 763
221, 1673, 2598
222, 8113, 6746
223, 8574, 4356
224, 5531, 1696
225, 5388, 1497
226, 3834, 1547
227, 4159, 171
228, 4459, 8447
229, 769, 1204
230, 9493, 7784
231, 8032, 725
232, 5787, 4518
233, 1685, 6551
234, 875, 5375
235, 3146, 5967
236, 9500, 8688
237, 7668, 101
238, 4259, 26
239, 7801, 33
240, 1367, 920
241, 2212, 4397
242, 1649, 8059
243, 2638, 81
